,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
124,Fabri,Real Valladolid,GK,1,90,-,-,-,-,-,51.6,-,-,7.02,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
125,Gerard,Sporting Gijon,D(C),8,706,-,-,3,-,-,75.7,0.4,-,7.01,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
126,Alberto Rivera,Sporting Gijon,M(C),34,3060,1,2,11,-,0.3,78.1,0.2,-,7.01,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
127,Ivan Gonzalez,Malaga,D(CL),22(1),2034,1,-,10,1,0.4,68.7,1.6,1,7.01,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
128,Albert Crusat,Almeria,FW,31(2),2639,7,4,12,-,1.2,74.4,-,1,7.00,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
129,Nivaldo,Real Valladolid,DMC,23(2),1975,2,-,6,2,1.1,64.4,1.4,2,7.00,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
130,Diego Colotto,Deportivo,D(C),30,2700,3,-,5,-,0.8,72.9,1.2,1,7.00,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
131,Santi Cazorla,Villarreal,M(CLR),16(8),1489,5,2,4,-,1.5,80.4,0.3,1,6.99,26.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
132,Joan Capdevila,Villarreal,D(L),37,3312,5,3,5,1,0.9,76.1,0.9,1,6.98,32.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
133,Sergio Asenjo,Atletico,GK,15,1275,-,-,-,-,-,34.3,0.1,1,6.98,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
134,Raúl Albiol,Real Madrid,D(C),32(1),2843,-,1,6,1,0.4,82.6,0.9,-,6.97,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
135,Miguel Brito,Valencia,D(R),20(5),1765,-,1,4,1,0.2,75.1,0.8,1,6.97,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
136,Alberto Botía,Sporting Gijon,D(C),26,2320,-,-,10,-,0.3,68.7,0.8,-,6.97,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
137,Víctor Ruiz,Espanyol,D(C),21(1),1923,2,-,5,1,0.3,71.8,0.9,2,6.97,21.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
138,Cata Díaz,Getafe,D(C),30,2700,1,-,7,-,0.4,79.8,0.9,-,6.97,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
139,Santiago Acasiete,Almeria,DMC,31,2740,-,1,7,-,0.2,79.6,1.1,1,6.97,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
140,Osmar,Racing Santander,DMC,1,90,-,-,-,-,-,75,3,-,6.97,22.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
141,Lassana Diarra,Real Madrid,M(C),19(4),1672,1,-,8,1,0.4,84.6,0.6,-,6.97,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
142,Henrique Sereno,Real Valladolid,D(C),12,1080,-,-,2,-,0.1,65.7,0.5,-,6.97,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
143,Javi Chica,Espanyol,D(LR),27(1),2415,-,2,6,-,0.4,74.8,0.7,-,6.96,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
144,Alberto Lopo,Deportivo,D(C),34,3060,1,1,6,1,0.6,77.9,1.3,1,6.96,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
145,Gabriel Milito,Barcelona,DMC,9(2),784,-,1,2,-,0.3,86.3,0.7,-,6.96,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
146,Iván Pillud,Espanyol,D(R),6(3),666,-,-,1,-,0.2,67.2,0.8,-,6.96,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
147,Javad Nekounam,Osasuna,M(CR),31,2615,3,-,4,2,1.6,74.7,1,1,6.96,30.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
148,Dudu Aouate,Mallorca,GK,38,3376,-,1,4,-,-,53.6,-,-,6.96,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
149,Gabi,Real Zaragoza,M(C),29(3),2505,1,4,9,-,1.1,77.8,0.5,1,6.96,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
150,Tuni,Mallorca,AM(L),7(2),546,1,1,2,-,0.6,66.9,-,1,6.95,28.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
